Url_path,Thumbnail,Title,Desc
https://www2.hm.com/en_us/productpage.1141812001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ffb%2F1d%2Ffb1d5c40664994542c1f4790eb1f1317795350d6.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],2-pack Crop T-shirts,Fitted crop T-shirts in soft cotton jersey.
https://www2.hm.com/en_us/productpage.1130811006.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F19%2Fb3%2F19b374537b1c90a2d2e1b5b55cca33d04d2e1e89.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shoes_ballerinas_flats%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main],Ballet Flats,"Ballet flats with rounded, contrasting toe and a decorative bow at front. Satin lining. Heel height 1/2 in."
https://www2.hm.com/en_us/productpage.1185380002.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fbd%2F86%2Fbd863d050288e4e9121f58af753d0c469e142fe9.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Curvy Fit Straight Regular Jeans,"Curvy-fit, 5-pocket jeans in rigid cotton denim designed to reduce gaping at waist with more room through hip and thigh. Looser-fit, straight cut from thigh to hem. Regular waist and zip fly with button. Straight, longer legs, designed to fall over foot with a stacking effect. Denim that goes from daytime to date night."
https://www2.hm.com/en_us/productpage.1083344033.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ffd%2F26%2Ffd2698934598ea03b7369071e6b2e326548baf52.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Canvas Cargo Pants,"Relaxed-fit cargo pants in cotton canvas with straight legs. Low waist, covered elastic at sides and back of waistband, and zip fly with snap fastener. Diagonal side pockets, leg pockets with flap, and an additional pocket on one leg."
https://www2.hm.com/en_us/productpage.1189024001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F38%2F71%2F3871b10536aaa49a40d5254713a7cff4f8f12a96.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Balloon-sleeved Satin Dress,"Short dress in softly draped satin. Low-cut V-neck, gathered seam below bust, and a concealed zipper at one side. Long balloon sleeves and narrow cuffs with a covered button. Partly lined."
https://www2.hm.com/en_us/productpage.1190600002.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ff2%2Fa6%2Ff2a6bba751550324bdf0e8a7bfb074af1846220b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Smocked Crêped Dress,"Calf-length dress in woven, crêped fabric. Square neckline at front and back, smocked bodice, and long sleeves. Narrow elastic at neckline, over shoulders, and at cuffs. Gently flared skirt and a gathered tier above hem for added volume. Unlined."
https://www2.hm.com/en_us/productpage.1157799010.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fec%2F34%2Fec3485ef78b0c0d8e9688459d70278df62b4dfb1.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Ribbed Modal-blend T-shirt,"Fitted T-shirt in soft, ribbed cotton and modal jersey with narrow trim at neckline. Straight-cut hem."
https://www2.hm.com/en_us/productpage.1137208011.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F02%2Fc9%2F02c954e46d769f9403811c5a22b05c722ea4618a.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Oversized T-shirt,Oversized T-shirt in soft cotton jersey. Ribbed neckline and heavily dropped shoulders.
https://www2.hm.com/en_us/productpage.1152458004.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fab%2Ffc%2Fabfc2c453c387e55b965c69df941e447ceac7d22.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],90s Baggy Regular Jeans,"5-pocket jeans in non-stretch cotton denim that feels firm at first, softening and relaxing with wear. Loose fit from waist to hip and baggy fit from thigh to hem. Regular waist and zip fly with button. Straight, longer legs, designed to fall over foot with a stacking effect. A denim statement that goes the distance."
https://www2.hm.com/en_us/productpage.1082177013.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F2f%2F2a%2F2f2a5ea17c60322a5fa624f258d3dbd956184260.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Gathered-sleeve Jacket,"Relaxed-fit, straight-cut jacket in woven fabric. Narrow, notched lapels, one button at front, welt front pockets, and gathered, 3/4-length sleeves. Lined."
