Url_path,Title,Desc
https://www2.hm.com/en_us/productpage.1137208001.html,Oversized T-shirt,Oversized T-shirt in soft cotton jersey. Ribbed neckline and heavily dropped shoulders.
https://www2.hm.com/en_us/productpage.0988235004.html,Slacks,"Pants in a woven viscose blend with stretch. High waist, waistband with narrow, covered elastic, and zip fly with hook-and-eye fastener. Side pockets, mock back pockets, and slim legs with creases."
https://www2.hm.com/en_us/productpage.1177170002.html,Denim Parachute Pants,"Loose-fit pants in non-stretch denim. Covered elastic at back of waistband and zip fly with button. Diagonal side pockets, a back pocket with flap, and open leg pockets with tab and snap fastener. Pleats at sides of knees for added volume. Elastic drawstring at hems with cord stopper."
https://www2.hm.com/en_us/productpage.1148100001.html,Cotton Shorts,"Loose-fit shorts in woven, crinkled cotton fabric. High waist, elasticized, drawstring waistband, and discreet side pockets. Short slit at sides of hems."
https://www2.hm.com/en_us/productpage.1198688001.html,Puff-sleeved Top,"Fitted top in soft cotton jersey. Square neckline, long puff sleeves in crisp cotton poplin, and narrow elastic at cuffs."
https://www2.hm.com/en_us/productpage.0932278001.html,Cotton-blend Shirt,"Shirt in a woven cotton blend. Collar, buttons at front, and yoke at back. Long sleeves with buttons at cuffs. Rounded hem."
https://www2.hm.com/en_us/productpage.1157325005.html,Crêped High-slit Skirt,"Fitted, calf-length skirt in woven, crêped viscose fabric. High waist, concealed zipper at one side with hook-and-eye fastening, and gathered seam at front with high slit. Unlined."
https://www2.hm.com/en_us/productpage.1143405001.html,Sweatshirt,"Crew-neck sweatshirt in cotton-blend fabric with soft, brushed inside. Heavily dropped shoulders, long sleeves, and ribbing at neck, cuffs, and hem."
https://www2.hm.com/en_us/productpage.0992104035.html,Sweatshorts,"Lightweight sweatshorts made from a cotton blend. High waist, covered, elasticized waistband with drawstring, and side pockets."
https://www2.hm.com/en_us/productpage.1058018011.html,V-neck Tunic,"Tunic in woven viscose fabric. Low stand-up collar, V-shaped opening at front, dropped shoulders, and short sleeves. Rounded hem, slightly longer at back. Slit at sides. Unlined."
https://www2.hm.com/en_us/productpage.1099913003.html,Ribbed Tank Top,"Fitted tank top in soft, ribbed cotton jersey. Wide shoulder straps, round neckline, and narrow cut at top."
https://www2.hm.com/en_us/productpage.1151411009.html,Slides,Slides with square toes and a wide foot strap. Satin lining. Sole thickness approx. 1/2 in.
https://www2.hm.com/en_us/productpage.0711582001.html,Cycling Shorts,Cycling shorts in soft cotton jersey with an elasticized waistband.
https://www2.hm.com/en_us/productpage.1175847004.html,Off-the-shoulder Cotton Dress,"Off-the-shoulder, calf-length dress in airy, woven cotton fabric. Ruffle-trimmed upper edge with covered elastic, short puff sleeves with eyelet embroidery, and elasticized, ruffle-trimmed cuffs. Elasticized seam at waist and a gently flared skirt with gathered tier for added volume at hem. Unlined."
https://www2.hm.com/en_us/productpage.1184751001.html,Draped Halterneck Top,"Halterneck crop top in woven viscose fabric with a slight sheen. Narrow cut at top, a sewn wrapover front for a draped effect, and a concealed zipper at one side. Lined."
https://www2.hm.com/en_us/productpage.1155429002.html,Linen Shirt,"Loose-fit shirt in airy linen. Collar, buttons at front, and a double-layered yoke. Dropped shoulders and long sleeves with button at cuffs."
https://www2.hm.com/en_us/productpage.1182650006.html,Rib-knit Dress,"Sleeveless, calf-length dress in a soft rib knit with a low-cut, round neckline. Straight hem."
https://www2.hm.com/en_us/productpage.0993840001.html,Nail polish,"Fashion-focused nail polish in a gorgeous array of inspiring colors and effects. Application is quick and easy – one coat of the high-gloss formula provides a rich, flawless finish. 0.27 fl. oz. Instructions: Apply over base coat and finish with a top coat for extra protection and shine."
https://www2.hm.com/en_us/productpage.1172402002.html,Linen-blend Tie-detail Shirt,"Loose-fit shirt in an airy, woven viscose and linen blend. Collar, V-neck, and buttons at front. Dropped shoulders, long balloon sleeves, and wide cuffs with a slit, button, and extra-narrow ties."
https://www2.hm.com/en_us/productpage.1139538005.html,Oversized Hooded Jacket,"Oversized, hooded sweatshirt jacket in cotton-blend fabric with soft, brushed inside. Double-layered, drawstring hood. Zipper at front, kangaroo pockets, heavily dropped shoulders, and long sleeves. Ribbing at cuffs and hem."
